Config,Fork,OpenMP,POSIX
500x1,375081.0,124287.0,348193.0
500x2,228023.0,77666.7,219651.0
500x4,228756.0,76787.6,214410.0
500x8,229725.0,81013.3,223147.0
500x16,235936.0,88520.1,225361.0
1000x1,4000120.0,1881470.0,3877310.0
1000x2,2123480.0,1061970.0,2167990.0
1000x4,2289660.0,1655260.0,2314200.0
1000x8,2268500.0,1651850.0,2273370.0
1000x16,2246140.0,1670770.0,2250318.0
2000x1,39915100.0,31467500.0,39758100.0
2000x2,21141400.0,16967000.0,21870800.0
2000x4,20122400.0,17767200.0,20139100.0
2000x8,21606500.0,17949700.0,21656700.0
2000x16,21796800.0,17986100.0,21801700.0
